Ano_Censo;Número_de_Instituições;Abrangência;Região;UF
2014;62;DISTRITO FEDERAL;CENTRO-OESTE;DISTRITO FEDERAL
2014;84;GOIÁS;CENTRO-OESTE;GOIÁS
2014;59;MATO GROSSO;CENTRO-OESTE;MATO GROSSO
2014;34;MATO GROSSO DO SUL;CENTRO-OESTE;MATO GROSSO DO SUL
2014;452;NORDESTE;NORDESTE;
2014;27;ALAGOAS;NORDESTE;ALAGOAS
2014;119;BAHIA;NORDESTE;BAHIA
2014;53;CEARÁ;NORDESTE;CEARÁ
2014;33;MARANHÃO;NORDESTE;MARANHÃO
2014;37;PARAÍBA;NORDESTE;PARAÍBA
2014;99;PERNAMBUCO;NORDESTE;PERNAMBUCO
2014;39;PIAUÍ;NORDESTE;PIAUÍ
2014;28;RIO GRANDE DO NORTE;NORDESTE;RIO GRANDE DO NORTE
2014;17;SERGIPE;NORDESTE;SERGIPE
2014;149;NORTE;NORTE;
2014;11;ACRE;NORTE;ACRE
2014;16;AMAPÁ;NORTE;AMAPÁ
2014;20;AMAZONAS;NORTE;AMAZONAS
2014;36;PARÁ;NORTE;PARÁ
2014;34;RONDÔNIA;NORTE;RONDÔNIA
2014;7;RORAIMA;NORTE;RORAIMA
2014;25;TOCANTINS;NORTE;TOCANTINS
2014;1126;SUDESTE;SUDESTE;
2014;82;ESPÍRITO SANTO;SUDESTE;ESPÍRITO SANTO
2014;310;MINAS GERAIS;SUDESTE;MINAS GERAIS
2014;137;RIO DE JANEIRO;SUDESTE;RIO DE JANEIRO
2014;597;SÃO PAULO;SUDESTE;SÃO PAULO
2014;402;SUL;SUL;
2014;187;PARANÁ;SUL;PARANÁ
2014;120;RIO GRANDE DO SUL;SUL;RIO GRANDE DO SUL
2014;95;SANTA CATARINA;SUL;SANTA CATARINA
